Section,Title,External ID,Preconditions,Steps,Expected Result,Priority,Type,Automation Type,References
Protocol & Headers,TD_P1_001_TC_001 - Primary Condition: POST method with valid headers and payload; kiểm tra gọi API thành công,TD_P1_001_TC_001,Kết nối mạng SIT ổn định; Token xác thực còn hiệu lực,"Test Data:
Headers:
- authToken: ""ValidToken_QA_2026""
- requestID: ""REQ-20260520-001""
- X-App-Code: ""CCTG_ONLINE_PORTAL""
- Accept-language: ""vi""
- Content-Type: ""application/json""
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Thiết lập phương thức POST và endpoint /v1/customer/validate
2. Cấu hình đầy đủ headers theo danh sách dữ liệu test
3. Đính kèm request body chứa requestCif gồm 12 chữ số hợp lệ nghiệp vụ
4. Thực hiện gửi request và kiểm tra phản hồi từ hệ thống

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK
Verify response JSON có cấu trúc thành công:
- success: true
- code: ""0""
- message: ""SUCCESS""
- errors: null
- traceId: chuỗi định dạng UUID không rỗng
- responseTime: thời gian ISO-8601 hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 200 OK
Verify response JSON có cấu trúc thành công:
- success: true
- code: ""0""
- message: ""SUCCESS""
- errors: null
- traceId: chuỗi định dạng UUID không rỗng
- responseTime: thời gian ISO-8601 hợp lệ",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Protocol & Headers,TD_P1_002_TC_001 - Primary Condition: Gửi request với HTTP method GET không hợp lệ,TD_P1_002_TC_001,Endpoint /v1/customer/validate được cấu hình trên Gateway,"Test Data:
Headers & Body như TD_P1_001 nhưng đổi Method sang GET

Steps:
1. Thiết lập phương thức GET và endpoint /v1/customer/validate
2. Gửi request kèm đầy đủ headers và body
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 405 Method Not Allowed hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- code: mã lỗi phương thức hoặc thông báo lỗi từ Gateway","Kiểm tra phản hồi trả về HTTP Status: 405 Method Not Allowed hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- code: mã lỗi phương thức hoặc thông báo lỗi từ Gateway",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: METHOD
Protocol & Headers,TD_P1_003_TC_001 - Primary Condition: Gửi request với Content-Type không hợp lệ,TD_P1_003_TC_001,Hệ thống kiểm tra định dạng gói tin đầu vào,"Test Data:
Header Content-Type: ""text/plain""
Body: ""{ \""requestCif\"": \""685607800001\"" }""

Steps:
1. Thiết lập phương thức POST và endpoint /v1/customer/validate
2. Cấu hình header Content-Type là ""text/plain""
3. Gửi request chứa body dạng text thô
4. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 415 Unsupported Media Type hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Có mã lỗi hoặc thông báo định dạng không hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 415 Unsupported Media Type hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Có mã lỗi hoặc thông báo định dạng không hợp lệ",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: CONTENT_TYPE
Protocol & Headers,TD_P1_004_TC_001 - Primary Condition: Thiếu header authToken bắt buộc xác thực,TD_P1_004_TC_001,Khách hàng chưa đăng nhập hoặc session hết hạn,"Test Data:
Headers không chứa key authToken
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header authToken khỏi request headers
3. Gửi request với body hợp lệ
4. Thực hiện gửi request và kiểm tra lỗi xác thực

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 401 Unauthorized hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi xác thực thông tin tài khoản","Kiểm tra phản hồi trả về HTTP Status: 401 Unauthorized hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi xác thực thông tin tài khoản",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: AUTH
Protocol & Headers,TD_P1_005_TC_001 - Primary Condition: Thiếu header requestID bắt buộc kiểm tra,TD_P1_005_TC_001,Cấu hình tham số bắt buộc của API Gateway,"Test Data:
Headers không chứa key requestID
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header requestID khỏi request headers
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu trường bắt buộc hoặc thiếu requestID","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu trường bắt buộc hoặc thiếu requestID",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: MANDATORY_HEADERS
Protocol & Headers,TD_P1_006_TC_001 - Primary Condition: Thiếu header X-App-Code bắt buộc kiểm tra,TD_P1_006_TC_001,Cấu hình nhận diện ứng dụng gọi API,"Test Data:
Headers không chứa key X-App-Code
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header X-App-Code khỏi request headers
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu thông tin định danh ứng dụng gọi API","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu thông tin định danh ứng dụng gọi API",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: MANDATORY_HEADERS
Protocol & Headers,TD_P1_007_TC_001 - Primary Condition: Thiếu header Accept-language trong yêu cầu,TD_P1_007_TC_001,Hệ thống sử dụng ngôn ngữ mặc định,"Test Data:
Headers không chứa key Accept-language
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header Accept-language khỏi request headers
3. Gửi request và kiểm tra ngôn ngữ trả về

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK (nếu fallback về ngôn ngữ mặc định là vi) hoặc HTTP Status: 400 Bad Request. Phản hồi response có ngôn ngữ mặc định.",Kiểm tra phản hồi trả về HTTP Status: 200 OK (nếu fallback về ngôn ngữ mặc định là vi) hoặc HTTP Status: 400 Bad Request. Phản hồi response có ngôn ngữ mặc định.,Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: LANGUAGE
Protocol & Headers,TD_P1_008_TC_001 - Primary Condition: Header Accept-language sai giá trị không được hỗ trợ,TD_P1_008_TC_001,Hệ thống hỗ trợ xử lý đa ngôn ngữ,"Test Data:
Header Accept-language: ""fr""
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình header Accept-language là ""fr""
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request hoặc tự động sử dụng ngôn ngữ mặc định. Báo lỗi hoặc response trả về an toàn.",Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request hoặc tự động sử dụng ngôn ngữ mặc định. Báo lỗi hoặc response trả về an toàn.,Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: LANGUAGE
Body Schema Validation,TD_P2_001_TC_001 - Primary Condition: Thiếu trường requestCif trong body payload,TD_P2_001_TC_001,Ràng buộc schema gói tin request,"Test Data:
Body:
{
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body rỗng {}
3. Gửi request và kiểm tra thông tin lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Verify response JSON có cấu trúc failure:
- success: false
- Báo lỗi thiếu trường bắt buộc requestCif","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Verify response JSON có cấu trúc failure:
- success: false
- Báo lỗi thiếu trường bắt buộc requestCif",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Body Schema Validation,TD_P2_002_TC_001 - Primary Condition: Trường requestCif truyền sai kiểu dữ liệu kiểu số thay vì chuỗi,TD_P2_002_TC_001,Ràng buộc schema kiểu dữ liệu,"Test Data:
Body:
{
  ""requestCif"": 685607800001
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body chứa requestCif là số 685607800001
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi sai định dạng hoặc kiểu dữ liệu","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi sai định dạng hoặc kiểu dữ liệu",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BODY_SCHEMA
Body Schema Validation,TD_P2_003_TC_001 - Primary Condition: Trường requestCif rỗng không hợp lệ,TD_P2_003_TC_001,Ràng buộc schema kiểm tra độ dài tối thiểu,"Test Data:
Body:
{
  ""requestCif"": """"
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body có requestCif = """"
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi trường bắt buộc không được để trống","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi trường bắt buộc không được để trống",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BODY_SCHEMA
Body Schema Validation,TD_P2_004_TC_001 - Primary Condition: Độ dài trường requestCif ngắn hơn quy định biên dưới,TD_P2_004_TC_001,Ràng buộc schema kiểm tra độ dài biên dưới,"Test Data:
Body:
{
  ""requestCif"": ""12345678901""
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body có requestCif dài 11 chữ số
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi độ dài CIF không hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi độ dài CIF không hợp lệ",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BOUNDARY
Body Schema Validation,TD_P2_005_TC_001 - Primary Condition: Độ dài trường requestCif dài hơn quy định biên trên,TD_P2_005_TC_001,Ràng buộc schema kiểm tra độ dài biên trên,"Test Data:
Body:
{
  ""requestCif"": ""1234567890123""
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body có requestCif dài 13 chữ số
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi độ dài CIF không hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi độ dài CIF không hợp lệ",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BOUNDARY
Body Schema Validation,TD_P2_006_TC_001 - Primary Condition: Định dạng trường requestCif chứa chữ cái không hợp lệ,TD_P2_006_TC_001,Kiểm tra ký tự chữ cái trong CIF,"Test Data:
Body:
{
  ""requestCif"": ""12345678901a""
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body có requestCif chứa ký tự chữ cái 'a'
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi định dạng CIF không hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi định dạng CIF không hợp lệ",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BODY_SCHEMA
Body Schema Validation,TD_P2_006_TC_002 - Primary Condition: Định dạng trường requestCif chứa ký tự đặc biệt không hợp lệ,TD_P2_006_TC_002,Kiểm tra ký tự đặc biệt trong CIF,"Test Data:
Body:
{
  ""requestCif"": ""12345678901#""
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body có requestCif chứa ký tự '#'
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi định dạng CIF không hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi định dạng CIF không hợp lệ",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BODY_SCHEMA
Business Logic,TD_P3_001_TC_001 - Primary Condition: Field quốc tịch của khách hàng không hợp lệ,TD_P3_001_TC_001,"Khách hàng tồn tại trên Core, quốc tịch không phải Việt Nam (ví dụ: US)","Test Data:
Body:
{
  ""requestCif"": ""101101101101""
}

Steps:
1. Chuẩn bị khách hàng có quốc tịch nước ngoài trên Core Banking
2. Gửi request POST /v1/customer/validate với requestCif của khách hàng
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""101""
- message: ""quốc tịch không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""101""
- message: ""quốc tịch không hợp lệ""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BUSINESS_ERROR
Business Logic,TD_P3_002_TC_001 - Primary Condition: Field tuổi của khách hàng không hợp lệ,TD_P3_002_TC_001,"Khách hàng tồn tại trên Core, ngày sinh khiến tuổi tròn là 17","Test Data:
Body:
{
  ""requestCif"": ""102102102102""
}

Steps:
1. Chuẩn bị khách hàng 17 tuổi trên Core Banking
2. Gửi request POST /v1/customer/validate với requestCif của khách hàng
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""102""
- message: ""tuổi không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""102""
- message: ""tuổi không hợp lệ""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BUSINESS_ERROR
Business Logic,TD_P3_003_TC_001 - Primary Condition: Khách hàng hợp lệ vừa tròn 18 tuổi,TD_P3_003_TC_001,"Khách hàng tồn tại trên Core, ngày sinh khiến tuổi tròn đúng 18","Test Data:
Body:
{
  ""requestCif"": ""102181021800""
}

Steps:
1. Chuẩn bị khách hàng vừa tròn đúng 18 tuổi trên Core Banking
2. Gửi request POST /v1/customer/validate với requestCif của khách hàng
3. Thực hiện gửi request và kiểm tra phản hồi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK
Response:
- success: true
- code: ""0""
- message: ""SUCCESS""","Kiểm tra phản hồi trả về HTTP Status: 200 OK
Response:
- success: true
- code: ""0""
- message: ""SUCCESS""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Business Logic,TD_P3_004_TC_001 - Primary Condition: Field loại khách hàng doanh nghiệp không hợp lệ,TD_P3_004_TC_001,"Khách hàng tồn tại trên Core, thuộc nhóm doanh nghiệp","Test Data:
Body:
{
  ""requestCif"": ""103103103103""
}

Steps:
1. Chuẩn bị thông tin khách hàng tổ chức trên Core Banking
2. Gửi request POST /v1/customer/validate với requestCif
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""103""
- message: ""loại khách hàng không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""103""
- message: ""loại khách hàng không hợp lệ""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BUSINESS_ERROR
Business Logic,TD_P3_005_TC_001 - Primary Condition: Field tình trạng cư trú của khách hàng không hợp lệ,TD_P3_005_TC_001,"Khách hàng tồn tại trên Core, có cờ cư trú là Không cư trú","Test Data:
Body:
{
  ""requestCif"": ""104104104104""
}

Steps:
1. Chuẩn bị khách hàng Không cư trú trên Core Banking
2. Gửi request POST /v1/customer/validate với requestCif
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""104""
- message: ""tình trạng cư trú không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""104""
- message: ""tình trạng cư trú không hợp lệ""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BUSINESS_ERROR
Business Logic,TD_P3_006_TC_001 - Primary Condition: Rule giờ giao dịch COT không hợp lệ,TD_P3_006_TC_001,Hệ thống đang cấu hình ngoài khung giờ hoạt động COT (ví dụ: 23:00),"Test Data:
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Giả lập hoặc cấu hình giờ hệ thống nằm ngoài khung giờ COT cho phép
2. Gửi request POST /v1/customer/validate với requestCif hợp lệ
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""109""
- message: ""Hiện tại đã hết giờ giao dịch. Quý khách vui lòng thực hiện từ {0} đến {1} hàng ngày.""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""109""
- message: ""Hiện tại đã hết giờ giao dịch. Quý khách vui lòng thực hiện từ {0} đến {1} hàng ngày.""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BUSINESS_ERROR
Business Logic,TD_P3_007_TC_001 - Primary Condition: Rule biên giờ COT lúc 07:59 trước giờ mở cửa không hợp lệ,TD_P3_007_TC_001,Giờ COT cho phép từ 08:00 đến 17:00; Giờ hệ thống đang là 07:59,"Test Data:
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Cấu hình giờ hệ thống là 07:59 sáng
2. Gửi request POST /v1/customer/validate và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""109""
- message: ""Hiện tại đã hết giờ giao dịch. Quý khách vui lòng thực hiện từ {0} đến {1} hàng ngày.""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""109""
- message: ""Hiện tại đã hết giờ giao dịch. Quý khách vui lòng thực hiện từ {0} đến {1} hàng ngày.""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BOUNDARY
Business Logic,TD_P3_008_TC_001 - Primary Condition: Biên giờ COT lúc 08:00 đúng giờ mở cửa hợp lệ,TD_P3_008_TC_001,Giờ COT cho phép từ 08:00 đến 17:00; Giờ hệ thống đang là 08:00,"Test Data:
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Cấu hình giờ hệ thống đúng 08:00 sáng
2. Gửi request POST /v1/customer/validate và kiểm tra phản hồi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK
Response:
- success: true
- code: ""0""
- message: ""SUCCESS""","Kiểm tra phản hồi trả về HTTP Status: 200 OK
Response:
- success: true
- code: ""0""
- message: ""SUCCESS""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Business Logic,TD_P3_009_TC_001 - Primary Condition: Biên giờ COT lúc 17:00 đúng giờ đóng cửa hợp lệ,TD_P3_009_TC_001,Giờ COT cho phép từ 08:00 đến 17:00; Giờ hệ thống đang là 17:00,"Test Data:
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Cấu hình giờ hệ thống đúng 17:00 chiều
2. Gửi request POST /v1/customer/validate và kiểm tra phản hồi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK
Response:
- success: true
- code: ""0""
- message: ""SUCCESS""","Kiểm tra phản hồi trả về HTTP Status: 200 OK
Response:
- success: true
- code: ""0""
- message: ""SUCCESS""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Business Logic,TD_P3_010_TC_001 - Primary Condition: Rule biên giờ COT lúc 17:01 sau giờ đóng cửa không hợp lệ,TD_P3_010_TC_001,Giờ COT cho phép từ 08:00 đến 17:00; Giờ hệ thống đang là 17:01,"Test Data:
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Cấu hình giờ hệ thống là 17:01 chiều
2. Gửi request POST /v1/customer/validate và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""109""
- message: ""Hiện tại đã hết giờ giao dịch. Quý khách vui lòng thực hiện từ {0} đến {1} hàng ngày.""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""109""
- message: ""Hiện tại đã hết giờ giao dịch. Quý khách vui lòng thực hiện từ {0} đến {1} hàng ngày.""",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BOUNDARY
Business Logic,TD_P3_011_TC_001 - Primary Condition: Độ ưu tiên kiểm tra lỗi quốc tịch và tuổi,TD_P3_011_TC_001,Khách hàng có quốc tịch nước ngoài VÀ tuổi tròn là 16 tuổi,"Test Data:
Body:
{
  ""requestCif"": ""101102000001""
}

Steps:
1. Chuẩn bị khách hàng nước ngoài và 16 tuổi trên Core Banking
2. Gửi request POST /v1/customer/validate
3. Thực hiện gửi request và kiểm tra mã lỗi trả về có đúng độ ưu tiên lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""101""
- message: ""quốc tịch không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""101""
- message: ""quốc tịch không hợp lệ""",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: ERROR_PRIORITY
Business Logic,TD_P3_012_TC_001 - Primary Condition: Độ ưu tiên kiểm tra lỗi tuổi và loại khách hàng,TD_P3_012_TC_001,Khách hàng 16 tuổi VÀ thuộc nhóm doanh nghiệp,"Test Data:
Body:
{
  ""requestCif"": ""102103000001""
}

Steps:
1. Chuẩn bị khách hàng doanh nghiệp và 16 tuổi trên Core Banking
2. Gửi request POST /v1/customer/validate
3. Thực hiện gửi request và kiểm tra mã lỗi trả về có đúng độ ưu tiên lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""102""
- message: ""tuổi không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""102""
- message: ""tuổi không hợp lệ""",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: ERROR_PRIORITY
Business Logic,TD_P3_013_TC_001 - Primary Condition: Độ ưu tiên kiểm tra lỗi loại khách hàng và cư trú,TD_P3_013_TC_001,Khách hàng doanh nghiệp VÀ có cờ Không cư trú,"Test Data:
Body:
{
  ""requestCif"": ""103104000001""
}

Steps:
1. Chuẩn bị khách hàng doanh nghiệp và Không cư trú trên Core Banking
2. Gửi request POST /v1/customer/validate
3. Thực hiện gửi request và kiểm tra mã lỗi trả về có đúng độ ưu tiên lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""103""
- message: ""loại khách hàng không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""103""
- message: ""loại khách hàng không hợp lệ""",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: ERROR_PRIORITY
Business Logic,TD_P3_014_TC_001 - Primary Condition: Độ ưu tiên kiểm tra lỗi cư trú và ngoài giờ COT,TD_P3_014_TC_001,Khách hàng Không cư trú VÀ giờ hệ thống đang là 23:00,"Test Data:
Body:
{
  ""requestCif"": ""104109000001""
}

Steps:
1. Cấu hình giờ hệ thống là 23:00 đêm
2. Gửi request POST /v1/customer/validate cho khách hàng Không cư trú
3. Thực hiện gửi request và kiểm tra mã lỗi trả về có đúng độ ưu tiên lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""104""
- message: ""tình trạng cư trú không hợp lệ""","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- code: ""104""
- message: ""tình trạng cư trú không hợp lệ""",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: ERROR_PRIORITY
